,title,name,link
0,Machine Learning Intern,Corizo,https://in.linkedin.com/jobs/view/machine-learning-intern-at-corizo-3210233999?refId=8U67mUGc%2BtVXRGMU00EkyA%3D%3D&trackingId=iJRWuDPw%2FrPFkrAQKrmmGQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,"Learn Data Science with Python @ Just 9,999 INR Per Month",Lejhro Bootcamp,https://in.linkedin.com/jobs/view/learn-data-science-with-python-%40-just-9-999-inr-per-month-at-lejhro-bootcamp-3212621493?refId=8U67mUGc%2BtVXRGMU00EkyA%3D%3D&trackingId=7VwtXLk0T72rQIBlIGx8BA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Machine Learning Engineer,Tata Consultancy Services,https://in.linkedin.com/jobs/view/machine-learning-engineer-at-tata-consultancy-services-3203795023?refId=8U67mUGc%2BtVXRGMU00EkyA%3D%3D&trackingId=aiso%2Btl6MDdNtjjbLE8g0Q%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Data Science Intern,Corizo,https://in.linkedin.com/jobs/view/data-science-intern-at-corizo-3203799224?refId=8U67mUGc%2BtVXRGMU00EkyA%3D%3D&trackingId=EOs0ynUPgbjaua849XrlZg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Data Scientist,Purple Drive Technologies,https://in.linkedin.com/jobs/view/data-scientist-at-purple-drive-technologies-3203798269?refId=8U67mUGc%2BtVXRGMU00EkyA%3D%3D&trackingId=VvFy3a%2FS%2Fb0mp9bntyn75w%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Data Scientist,PayPal,https://in.linkedin.com/jobs/view/data-scientist-at-paypal-3203798217?refId=8U67mUGc%2BtVXRGMU00EkyA%3D%3D&trackingId=TRZZoMVwpHihrTehmgBqJg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,Data Scientist,Akaike Technologies,https://in.linkedin.com/jobs/view/data-scientist-at-akaike-technologies-3212235412?refId=8U67mUGc%2BtVXRGMU00EkyA%3D%3D&trackingId=AfYEXOc9XET83Y84ciLvew%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Data Science Training and Industrial Projects,SkillVertex,https://in.linkedin.com/jobs/view/data-science-training-and-industrial-projects-at-skillvertex-3203794857?refId=8U67mUGc%2BtVXRGMU00EkyA%3D%3D&trackingId=rf%2BI1yAmkfsVPiRIWWT7og%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Data Scientist,PayPal,https://in.linkedin.com/jobs/view/data-scientist-at-paypal-3203109495?refId=8U67mUGc%2BtVXRGMU00EkyA%3D%3D&trackingId=TJ2oMovRzP7aqE23s9yK0A%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Data Scientist,Akaike Technologies,https://in.linkedin.com/jobs/view/data-scientist-at-akaike-technologies-3212232576?refId=8U67mUGc%2BtVXRGMU00EkyA%3D%3D&trackingId=QUA%2F6SEOfDVFxCUxkXDKjw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
10,Data Scientist,Zeliot,https://in.linkedin.com/jobs/view/data-scientist-at-zeliot-3211897232?refId=8U67mUGc%2BtVXRGMU00EkyA%3D%3D&trackingId=%2B0NCGfXzhk4C%2BZZPz5HghA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
11,Machine Learning Intern,Sony Research India,https://in.linkedin.com/jobs/view/machine-learning-intern-at-sony-research-india-3178940232?refId=8U67mUGc%2BtVXRGMU00EkyA%3D%3D&trackingId=M7Tt0ToniiALzBGclowJUQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
12,Machine Learning Engineer,San Filippo Designs,https://in.linkedin.com/jobs/view/machine-learning-engineer-at-san-filippo-designs-3194399722?refId=8U67mUGc%2BtVXRGMU00EkyA%3D%3D&trackingId=mDvlpEinul%2FX38L1to4vTA%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
13,Machine Learning Engineer - NLP,Confidential,https://in.linkedin.com/jobs/view/machine-learning-engineer-nlp-at-confidential-3212617468?refId=8U67mUGc%2BtVXRGMU00EkyA%3D%3D&trackingId=2ZC4OU2q%2FaJMwX7jM1zBXg%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
14,"Data Science Consultant (remote, full-time)",Luein Analytics,https://in.linkedin.com/jobs/view/data-science-consultant-remote-full-time-at-luein-analytics-3202489533?refId=8U67mUGc%2BtVXRGMU00EkyA%3D%3D&trackingId=aFx065Ln79BnJjYhz0Bc%2FA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
15,Data science lead,NOTUS,https://in.linkedin.com/jobs/view/data-science-lead-at-notus-3212621605?refId=8U67mUGc%2BtVXRGMU00EkyA%3D%3D&trackingId=JFFDBmvszwYRRpPd%2FFdpHA%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
16,AI/ML Subject Matter Expert,Tata Consultancy Services,https://in.linkedin.com/jobs/view/ai-ml-subject-matter-expert-at-tata-consultancy-services-3204200116?refId=8U67mUGc%2BtVXRGMU00EkyA%3D%3D&trackingId=Hb9mO63U47vj6pl6onIE0A%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
17,Data Science Full Time Opportunity for University Graduates,Microsoft,https://in.linkedin.com/jobs/view/data-science-full-time-opportunity-for-university-graduates-at-microsoft-3204677101?refId=8U67mUGc%2BtVXRGMU00EkyA%3D%3D&trackingId=SFDFd7kfKlmVbPXL8ls1PQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
18,Machine Learning And Artificial Intelligence,Tata Consultancy Services,https://in.linkedin.com/jobs/view/machine-learning-and-artificial-intelligence-at-tata-consultancy-services-3203159364?refId=8U67mUGc%2BtVXRGMU00EkyA%3D%3D&trackingId=whdHxwVqIjmJQuATG973UA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
19,"Data Scientist, Climate",NatWest Group,https://in.linkedin.com/jobs/view/data-scientist-climate-at-natwest-group-3210022225?refId=8U67mUGc%2BtVXRGMU00EkyA%3D%3D&trackingId=3MuYrwzkYI2k1S6OBxxppA%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
20,Data Scientist,HCL Technologies,https://in.linkedin.com/jobs/view/data-scientist-at-hcl-technologies-3211270526?refId=8U67mUGc%2BtVXRGMU00EkyA%3D%3D&trackingId=p6fdUV5S4lQFwpPZNSN9Fg%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
21,Data Science Intern,Akridata,https://in.linkedin.com/jobs/view/data-science-intern-at-akridata-3176794560?refId=8U67mUGc%2BtVXRGMU00EkyA%3D%3D&trackingId=HjavHFegpxXvHRr%2BvtGA3A%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
22,Data Analytics Internship in Bangalore at Urban Company,Urban Company,https://in.linkedin.com/jobs/view/data-analytics-internship-in-bangalore-at-urban-company-at-urban-company-3193415567?refId=8U67mUGc%2BtVXRGMU00EkyA%3D%3D&trackingId=F5etLZ%2FD5UFuLm6RKfQzhA%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
23,Data Analytics Internship in Bangalore at Tabsquare,TabSquare,https://in.linkedin.com/jobs/view/data-analytics-internship-in-bangalore-at-tabsquare-at-tabsquare-3196233152?refId=8U67mUGc%2BtVXRGMU00EkyA%3D%3D&trackingId=ZHe7gsfsx1xRhD3BKKcj2g%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
24,MB.OS: Data Scientist,Mercedes-Benz Financial Services USA LLC,https://in.linkedin.com/jobs/view/mb-os-data-scientist-at-mercedes-benz-financial-services-usa-llc-3210063729?refId=8U67mUGc%2BtVXRGMU00EkyA%3D%3D&trackingId=cqpO89YEU5REUbn32soddA%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
